"0","# 4. Ver tabla ANOVA"
"0","# Esto nos dirá si el sustrato, el tiempo o su interacción son significativos"
"0","print(anova(modelo))"
"1","Analysis of Variance Table"
"1","
"
"1","                 "
"1"," npar"
"1","  Sum Sq"
"1"," Mean Sq"
"1","  F value"
"1","
sustrato         "
"1","    2"
"1","   32.76"
"1","   16.38"
"1","   9.4836"
"1","
medicion         "
"1","    4"
"1"," 1543.05"
"1","  385.76"
"1"," 223.3329"
"1","
sustrato:medicion"
"1","    8"
"1","   72.60"
"1","    9.07"
"1","   5.2536"
"1","
"
