fecha,nivel_m
01/01/2000,44.35589282
01/02/2000,44.20293862
01/03/2000,44.52817938
01/04/2000,45.01988561
01/05/2000,44.70367779
01/06/2000,45.06578932
01/07/2000,44.87196672
01/08/2000,45.31825536
01/09/2000,45.2196648
01/10/2000,44.86943306
01/11/2000,44.94272978
01/12/2000,44.3852998
01/01/2001,44.32632384
01/02/2001,45.48270928
01/03/2001,45.47567868
01/04/2001,45.67353782
01/05/2001,45.27798007
01/06/2001,45.56796522
01/07/2001,45.53225881
01/08/2001,45.47449022
01/09/2001,45.37271209
01/10/2001,45.14535142
01/11/2001,45.24253244
01/12/2001,45.64037915
01/01/2002,45.73067091
01/02/2002,46.11522028
01/03/2002,45.84406623
01/04/2002,46.0068901
01/05/2002,46.20040336
01/06/2002,45.98349491
01/07/2002,46.21247467
01/08/2002,46.7779416
01/09/2002,47.391733
01/10/2002,46.79052573
01/11/2002,46.23453085
01/12/2002,46.16505686
01/01/2003,46.28662163
01/02/2003,46.30256193
01/03/2003,46.76946169
01/04/2003,47.37192224
01/05/2003,47.12254324
01/06/2003,47.65477031
01/07/2003,48.01923295
01/08/2003,47.91727329
01/09/2003,47.94123693
01/10/2003,47.48457273
01/11/2003,47.52801384
01/12/2003,46.57227646
01/01/2004,46.9316628
01/02/2004,46.79538842
01/03/2004,46.58076052
01/04/2004,46.7466411
01/05/2004,47.09541469
01/06/2004,47.00753144
01/07/2004,46.78276314
01/08/2004,47.35680272
01/09/2004,47.1886531
01/10/2004,46.30674288
01/11/2004,46.55178699
01/12/2004,46.76690141
01/01/2005,46.98414884
01/02/2005,48.00133348
01/03/2005,48.36723131
01/04/2005,47.4398483
01/05/2005,48.20480987
01/06/2005,47.86031487
01/07/2005,48.02855283
01/08/2005,47.40938205
01/09/2005,47.26630894
01/10/2005,46.82391842
01/11/2005,47.50744904
01/12/2005,46.58645833
01/01/2006,46.76865358
01/02/2006,47.41414044
01/03/2006,47.08643784
01/04/2006,47.37252898
01/05/2006,47.14635713
01/06/2006,47.24658004
01/07/2006,47.10807624
01/08/2006,47.15957346
01/09/2006,47.96983153
01/10/2006,47.33049779
01/11/2006,47.44290169
01/12/2006,47.87024959
01/01/2007,48.02920289
01/02/2007,48.29477015
01/03/2007,48.31767191
01/04/2007,49.04806298
01/05/2007,49.28463019
01/06/2007,49.75112317
01/07/2007,48.82808499
01/08/2007,48.33615914
01/09/2007,48.70036837
01/10/2007,48.77261402
01/11/2007,48.51001136
01/12/2007,48.56746461
01/01/2008,48.85474108
01/02/2008,49.20263659
01/03/2008,48.72372525
01/04/2008,48.46549866
01/05/2008,48.69603995
01/06/2008,48.4920352
01/07/2008,48.52811794
01/08/2008,49.14291318
01/09/2008,48.92702689
01/10/2008,49.42471068
01/11/2008,48.9050946
01/12/2008,49.39183739
01/01/2009,50.58490957
01/02/2009,49.89324103
01/03/2009,49.78744657
01/04/2009,49.74719446
01/05/2009,49.94494439
01/06/2009,50.16597149
01/07/2009,49.84938446
01/08/2009,49.83185062
01/09/2009,50.1814074
01/10/2009,50.45367484
01/11/2009,50.20683225
01/12/2009,49.75773828
01/01/2010,50.0210818
01/02/2010,50.12274382
01/03/2010,50.46014201
01/04/2010,50.41817101
01/05/2010,49.89300304
01/06/2010,49.63633346
01/07/2010,49.84005128
01/08/2010,49.37266855
01/09/2010,49.59733082
01/10/2010,49.96465371
01/11/2010,50.16457456
01/12/2010,50.82339343
01/01/2011,50.20826639
01/02/2011,49.64207663
01/03/2011,50.49037448
01/04/2011,51.1040876
01/05/2011,51.64044484
01/06/2011,50.76665049
01/07/2011,50.54182313
01/08/2011,50.24597037
