"numero_talas","densidad_poblacion","superficie_forestal_ha","dias_vigilancia"
1,45.0744481105357,2532.70370699465,17.2132523392793
1,78.9434494171292,10124.5256501716,6.87306028674357
0,225.227475073189,5277.33193081804,8.37082467740402
0,258.597391387448,8350.85798904765,23.3134928578511
0,240.751410452649,14685.9475305537,8.75675779068843
0,112.94879116118,1672.61623824015,6.62484655156732
0,43.0811658035964,8171.0776797263,18.8912822818384
0,99.9475446064025,6264.46301327087,18.7608426739462
0,86.5009160339832,11531.3255282817,23.8152711139992
0,127.866126727313,14740.775989485,6.93819871055894
0,124.42485508509,12135.9459398082,8.20176302921027
0,81.0143966879696,8732.45271551423,8.26606710441411
0,231.429409906268,1494.89570758305,29.0461979701649
0,250.070699248463,3221.54643153772,29.6890885347966
1,187.697085961699,12409.6042008605,16.5645962941926
0,202.289396813139,7689.67190408148,13.3884117018897
0,256.072826646268,8604.89619290456,5.25345868198201
0,146.906679943204,11164.6271180362,22.8195348533336
0,220.69198789075,6392.50528113917,19.0006916713901
0,101.542206620798,13961.6429646267,9.70490478910506
0,70.3672785218805,5111.32384999655,11.1184125603177
0,222.088207993656,12985.012183548,8.89420504798181
0,273.424522262067,4149.3891114369,24.9212954845279
0,144.814667645842,1983.64589887206,22.5685052119661
0,254.808409838006,13736.3495028112,27.0871667319443
2,216.977992868051,12038.5509229964,8.89081271714531
0,286.260118968785,13856.8212444661,20.5421388917603
0,200.082609001547,10275.7979659364,14.9508527026046
0,40.9495595749468,3861.79913417436,6.51611684123054
0,90.97730464302,3064.86776901875,20.8040362701286
0,292.791117653251,7284.53776927199,14.2697555257473
0,80.8451400604099,4828.31135671586,27.0982911996543
0,288.464218368754,11970.7537948852,6.97341644088738
0,160.519697712734,6313.05214052554,21.8098921130877
0,202.22421974875,10539.4063506974,8.96783040487207
0,285.524301072583,1386.61514560226,26.4269513671752
1,296.83520546183,13107.7251291135,5.26059109368362
0,277.072053449228,13147.2527575679,22.1274811029434
0,282.629198916256,6764.02731938288,25.650918665342
0,167.933840658516,8742.10532929283,12.7985695155803
1,108.909714771435,8431.87883635983,7.06349578802474
0,138.635643832386,10362.6338605536,8.93595084897242
0,32.0291878283024,12213.4362347424,11.7593139363453
0,56.1966766323894,1437.41252657492,19.7891951026395
0,41.5080348122865,7218.92828075215,20.6236291863024
1,41.9574794359505,3106.40227689873,25.6386112957262
1,183.093734020367,8148.24113342911,15.1736726064701
0,172.348901694641,9206.21223351918,7.44227810180746
0,155.997816156596,1170.52434850484,26.4706071885303
1,279.908917378634,4252.05857970286,16.0719783056993
0,264.065470686182,13085.9033373417,16.4964089530986
0,243.579096505418,2748.47187916748,14.3931117444299
0,110.085565699264,1780.21162527148,26.443117398303
0,139.091946715489,11727.8582321014,15.6806918920483
1,123.966983212158,4785.85633658804,26.2465335149318
0,270.396638270468,3740.7727658283,24.0019184548873
0,280.726778572425,5656.90942353103,14.5334099023603
0,192.826774045825,1990.90499512386,18.4039643162396
0,58.6382179055363,9755.85951586254,26.0123720346019
0,91.1593826953322,1331.61847526208,26.4507162279915
0,103.572748964652,3530.79435101245,11.0706809803378
1,134.40236591734,10005.4252678528,27.3781861423049
0,97.3710933513939,6715.92355926987,25.4837999888696
0,195.281939981505,5145.49692359287,17.6244798128027
0,26.3864478934556,2320.54095773492,27.2770789347123
0,111.987504204735,3133.10081535019,22.8124066849705
1,192.604161137715,8305.87152310181,24.1918378521223
0,137.36918695271,2195.59270620812,18.6414663866162
1,178.967418549582,11989.4810470287,13.0343395413365
3,168.705035503954,4230.17580981832,5.57834380422719
0,290.280678123236,12639.1346388264,27.3309513356071
2,257.312393542379,3209.7444726387,5.25115447351709
1,91.2413630820811,12137.2917661211,15.556525294669
0,41.2535091582686,14836.3606058992,25.3924842237029
0,144.384531239048,13352.0868471824,8.59821496531367
0,20.4227762948722,13797.6875221357,19.6939126774669
0,114.021346727386,1599.35752116144,20.1612509449478
2,124.727780949324,12937.151127262,6.04476864216849
0,155.674147447571,2464.17219808791,12.8992235765327
0,188.805458331481,7835.30614816118,12.3558662785217
0,156.767526632175,6167.67075879034,20.3894393297378
0,173.744445424527,5529.3293800205,14.2591824475676
0,202.799135837704,4279.32846639305,26.3423118751962
0,283.254365250468,9744.23612607643,16.9022853847127
1,132.404028903693,12161.5227841539,17.4358147266321
0,250.017317347229,14817.8942578379,12.9888026230037
0,169.310900270939,9536.11038986128,13.5728476231452
0,143.397439690307,12542.3010649392,28.7563656817656
4,294.731956701726,13393.8861922361,16.693849216681
0,254.1654124856,5351.38746525627,6.37746149557643
0,173.466819953173,2385.19510673359,8.54411863372661
0,243.628918696195,6156.62223508116,23.9793654542882
0,173.167103454471,9104.28626136854,12.1280867035966
0,298.063404532149,9309.40282798838,17.5899961451069
0,238.222517119721,1973.50342443679,18.7868138845079
0,241.646586526185,6076.93971251138,25.0465427420568
0,53.5767265409231,9546.2356734788,18.440732419258
1,129.171460485086,1002.83083156683,11.5664889232721
