"presencia_roya","humedad_relativa_pct","altitud_msnm","manejo_sombra"
1,93.4562816598918,683.766528591514,0
0,92.8049931803253,977.366937417537,1
0,68.3377157989889,1096.63455756381,0
0,68.9275772380643,1302.32832245529,1
0,73.667918877909,1522.01166870072,0
0,71.9412950775586,1226.02743851021,0
0,75.8333208749536,707.874948531389,1
0,70.1476487249602,1035.39730953053,1
0,75.7735627971124,867.037176992744,1
0,88.2308501959778,1198.19564335048,0
0,81.2002374324948,1786.71195236966,1
0,72.6994380669203,926.270938944072,1
0,86.8218466104008,1483.51395791396,1
0,61.5780431381427,1609.47011495009,0
0,80.7260156271514,1509.01805050671,1
0,67.0571265940089,968.06673053652,1
0,82.1458308969159,1208.61406931654,1
0,74.1256498126313,1223.6702715978,1
0,70.167619290296,873.428495228291,1
0,82.4160653713625,1710.49073813483,0
0,82.2588714491576,715.444401372224,1
0,94.6457458904479,612.524007540196,1
0,92.591090335045,814.950569719076,1
0,76.9926663779188,1285.90271249413,0
0,80.1141239283606,1645.74685385451,1
0,86.2933387071826,1741.17826893926,1
1,94.7452831687406,1551.93267222494,0
0,75.0802534620743,1016.2401644513,0
0,64.3527756130788,744.175316859037,0
0,80.7991102163214,1292.96176889911,1
0,67.3676602530759,1157.70422564819,0
0,84.8588659532834,1592.5915854983,1
0,83.6540454719216,1606.39009829611,1
0,94.7516771347728,1208.35423255339,1
0,83.2007560099009,1493.406299036,0
0,75.3547103784513,903.487472143024,1
1,85.1379682566039,1098.54535991326,0
0,60.8954081102274,903.663536254317,1
0,83.5315487277694,1039.07305961475,1
0,78.9333597698715,1106.96312282234,0
0,88.7173468025867,670.736781600863,1
0,69.6641610818915,834.426835365593,0
0,76.0079527937341,1438.03209085017,0
0,90.2662393799983,1479.12506349385,1
0,89.3477028410416,1318.22040695697,0
0,71.9939599337522,885.742059443146,0
0,64.9632236221805,1397.36041584983,0
0,91.6912172338925,1399.21147199348,1
0,67.8477322612889,1726.35097028688,1
0,66.1849668016657,1766.84561194852,1
0,78.8245005556382,1358.57828613371,0
0,69.8230758518912,1428.98256350309,1
0,60.3457473823801,1068.78923345357,0
0,63.3882706612349,1687.56241025403,1
0,83.1647317227907,1279.32227198035,1
0,83.7067372119054,1648.92656905577,0
0,64.5950494788121,780.240041110665,1
0,69.1955329629127,1061.09445998445,1
0,71.1127051326912,1067.47690737247,0
0,83.6860804702155,1716.45671278238,0
0,62.2035081114154,1598.82132383063,1
0,62.2556644817814,1070.72157785296,1
0,83.1416730338242,853.008493222296,1
0,63.6656585952733,1310.53949156776,0
0,85.7958462799434,886.102901771665,1
0,62.63212571037,1531.8605594337,0
1,91.178350627888,780.830793175846,0
0,91.1454825743567,743.516290560365,0
0,75.3503931872547,1467.09513505921,1
0,63.3336414792575,735.199343785644,0
0,79.0958220022731,1585.65807882696,0
0,74.0321149048395,1369.89905582741,1
0,60.4549396166112,1312.20506345853,0
0,92.4119459162466,1094.92068691179,0
0,93.2170392002445,1649.01908263564,0
0,87.4799667100888,902.567297313362,0
0,75.284783472307,1308.74409433454,0
0,91.7084539646748,1757.21536818892,0
0,77.8946454927791,940.544889774173,1
0,66.9089730165433,986.889300774783,1
0,62.1766192524228,1191.06201706454,1
0,64.6487308095675,1011.06319315732,0
0,78.5902053816244,1757.3766999878,0
0,94.2495776945725,1100.8864140138,1
0,80.9600778354798,1619.59682749584,1
0,70.8819342125207,898.251459840685,1
0,80.8746422908735,1231.81631835178,1
0,87.7137510594912,1482.15851364657,1
0,87.5824066228233,1572.65538554639,1
0,82.8113784198649,1512.95677274466,1
0,82.1760827803519,1743.46397621557,1
0,65.786861408269,1246.20711850002,1
0,81.0725709085818,1094.64400643483,0
0,93.4927206370048,832.920098863542,0
0,89.047460979782,987.381091620773,0
0,78.4426438179798,1517.40550389513,0
1,90.5237968557049,1001.21186664328,1
1,91.9819748296868,1794.24336953089,0
0,65.6870434840675,1275.39221579209,0
0,77.3062874027528,851.453215163201,1
0,66.3525818719063,1088.22141755372,1
0,62.9831817490049,1340.9745130688,1
0,66.5441881865263,1387.06317488104,0
1,94.8877587739844,610.088038444519,1
0,74.0542083932087,819.600998517126,0
0,93.0932634754572,618.480740021914,1
0,81.9043409230653,1167.25402632728,1
0,84.2231442802586,1798.70539465919,1
0,68.8517493847758,1536.9460565038,0
0,74.5302447606809,1327.15065283701,0
0,65.4777565342374,1476.33354132995,1
0,69.2271642480046,1777.71890200675,0
0,82.1733431925531,603.795013390481,1
0,77.7499581966549,1359.29155871272,0
0,82.7898710290901,1747.31763359159,0
0,85.6587982911151,1652.3458619602,1
0,93.6577536410186,1782.42139471695,1
0,69.42964965594,1140.59291426092,0
0,80.4471662791912,822.138075437397,1
0,61.4451642229687,689.912986848503,1
0,92.4846119701397,1027.90791029111,0
0,64.5479149417952,809.045060165226,0
0,78.2697485969402,1573.05197529495,0
0,82.4433231796138,1158.51231012493,0
0,91.290599766653,1040.2709771879,1
0,80.2721835346892,1534.57344342023,1
0,65.5695342656691,1270.65208414569,1
0,77.6606173312757,1208.57433238998,0
0,90.7714186236262,1446.55629079789,0
0,77.5845157832373,1754.42051170394,0
0,60.2194440434687,788.907446432859,1
0,68.1927271990571,1501.95481656119,0
0,72.1487067220733,973.721767868847,0
0,84.3174532765988,635.989595018327,1
0,75.2279586938675,1145.15637243167,1
1,92.2898470424116,835.370586812496,0
0,86.6273967258167,1503.57505856082,1
0,64.2160166066606,1348.56981318444,1
0,64.2896275373641,1723.18629585207,0
0,68.0046457168646,1108.60600881279,1
0,65.6161991227418,1232.35054565594,0
0,67.4370675010141,705.368185043335,1
0,72.4224220728502,1468.92755124718,0
0,77.637927273754,992.447680514306,1
0,76.2520560773555,1203.08238537982,1
1,88.2773443218321,1550.2974034287,0
0,82.5499974156264,1720.3837428242,1
0,69.1457310225815,915.23241167888,1
0,84.1322070115712,770.035818591714,0
0,65.2676923992112,1175.96245296299,0
0,75.0530470663216,887.865517660975,1
0,84.0914043120574,1530.55198676884,0
0,85.2853002690244,1316.06298582628,0
0,78.7192428158596,1327.27647023275,1
0,92.2049323376268,1279.54144421965,1
0,65.5919833632652,1731.62930840626,1
0,85.0177416403312,903.121423535049,0
0,83.7122472154442,898.368183150887,1
0,78.534673852846,1021.99158696458,1
0,66.7589287890587,655.448237992823,0
0,67.582055318635,897.989325877279,0
1,87.3763452796265,1155.48529531807,0
0,82.936335564591,1110.07750974968,1
0,92.4090216378681,860.869813710451,1
0,79.1733567602932,657.146139722317,0
0,86.0608373151626,1588.20810774341,1
0,68.9618922735099,813.014343660325,1
0,65.8614107291214,1024.31920878589,1
0,91.7715408653021,1353.96044086665,1
0,76.8873777124099,955.848185811192,0
0,63.953257643152,615.013233013451,1
0,79.1085701342672,764.749189093709,0
0,61.1925510910805,1109.36582777649,0
0,89.7786686685868,872.772005852312,1
0,68.1587582628708,1401.83204999194,1
0,84.2773812799715,620.703034847975,0
0,76.4976182975806,1517.8256300278,0
0,84.4301141717006,943.851582147181,1
0,76.3619544205721,1478.46481651068,0
0,75.221271100454,788.473178073764,1
