"0","# 3. Preparar los datos: calcular media y error estándar por sustrato y medición"
"0","datos_resumen <- datos_limpios %>%"
"0","  group_by(sustrato, medicion) %>%"
"0","  summarise("
"0","    altura_promedio = mean(altura, na.rm = TRUE),"
"0","    error_estandar = sd(altura, na.rm = TRUE) / sqrt(n()),"
"0","    .groups = ""drop"""
"0","  )"
"0",""
"0","# 4. Crear la gráfica de líneas con bandas de error"
"0","ggplot(datos_resumen, aes(x = medicion, y = altura_promedio, color = sustrato, group = sustrato)) +"
"0","  geom_line(size = 1.2) +                      # Líneas de tendencia"
"0","  geom_point(size = 3) +                       # Puntos de medición"
"0","  geom_errorbar(aes(ymin = altura_promedio - error_estandar, "
"0","                    ymax = altura_promedio + error_estandar), "
"0","                width = 0.2) +                 # Barras de error"
"0","  labs(title = ""Crecimiento promedio de plántulas por sustrato"","
"0","       subtitle = ""Comparativa de 3 sustratos a lo largo del tiempo"","
"0","       x = ""Número de medición"","
"0","       y = ""Altura promedio (cm)"","
"0","       color = ""Sustrato"") +"
"0","  theme_minimal() +                            # Estilo limpio"
"0","  theme(plot.title = element_text(face = ""bold""))"
